time	d_stereo	d_prop	d_filter	velo	acc	status
1526821422.315842	35.000000	35.000000	37.899027	-88.075004	117.894160	2
1526821422.469587	35.000000	35.000000	36.600875	-8.444473	1.128278	2
1526821422.583284	35.000000	35.000000	36.102562	-4.383161	0.308851	1
1526821422.698851	35.000000	35.000000	35.838167	-2.287950	0.084874	1
1526821422.830305	35.000000	35.000000	35.673783	-1.250485	0.000000	0
1526821422.955437	35.000000	35.000000	35.561349	-0.898604	0.000000	0
1526821423.076926	35.000000	35.000000	35.479359	-0.674917	0.000000	0
1526821423.194274	35.000000	35.000000	35.416752	-0.533554	0.000000	0
1526821423.314345	35.000000	35.000000	35.367254	-0.412262	0.000000	0
1526821423.426799	35.000000	35.000000	35.327047	-0.357565	0.000000	0
1526821423.539041	35.000000	35.000000	35.293671	-0.297375	0.000000	0
1526821423.652442	35.000000	35.000000	35.265472	-0.248688	0.000000	0
1526821423.768551	35.000000	35.000000	35.241296	-0.208258	0.000000	0
1526821423.886452	35.000000	35.000000	35.220314	-0.177974	0.000000	0
1526821424.000467	35.000000	35.000000	35.201914	-0.161392	0.000000	0
1526821424.117631	35.000000	35.000000	35.185637	-0.138939	0.000000	0
1526821424.245673	35.000000	35.000000	35.171127	-0.113327	0.000000	0
1526821424.365025	35.000000	35.000000	35.158110	-0.109071	0.000000	0
1526821424.489803	35.000000	35.000000	35.146366	-0.094125	0.000000	0
1526821424.613414	35.000000	35.000000	35.135719	-0.086137	0.000000	0
1526821424.733522	35.000000	35.000000	35.126026	-0.080706	0.000000	0
1526821424.851387	35.000000	35.000000	35.117170	-0.075151	0.000000	0
1526821424.975582	35.000000	35.000000	35.109051	-0.065371	0.000000	0
1526821425.095324	35.000000	35.000000	35.101589	-0.062325	0.000000	0
1526821425.210608	35.000000	35.000000	35.094713	-0.059652	0.000000	0
1526821425.329885	35.000000	35.000000	35.088363	-0.053236	0.000000	0
1526821425.451805	35.000000	35.000000	35.082489	-0.048182	0.000000	0
1526821425.569125	35.000000	35.000000	35.077046	-0.046398	0.000000	0
1526821425.699200	35.000000	35.000000	35.071995	-0.038832	0.000000	0
1526821425.818329	35.000000	35.000000	35.067303	-0.039394	0.000000	0
1526821425.955908	35.000000	35.000000	35.062938	-0.031728	0.000000	0
1526821426.078336	35.000000	35.000000	35.058874	-0.033195	0.000000	0
1526821426.199412	35.000000	35.000000	35.055088	-0.031276	0.000000	0
1526821426.313419	35.000000	35.000000	35.051557	-0.030974	0.000000	0
1526821426.435459	35.000000	35.000000	35.048262	-0.026998	0.000000	0
1526821426.545016	35.000000	35.000000	35.045186	-0.028079	0.000000	0
1526821426.677732	35.000000	35.000000	35.042313	-0.021651	0.000000	0
1526821426.787240	35.000000	35.000000	35.039628	-0.024521	0.000000	0
